Banco de México,,
,,
Tipos de cambio y resultados históricos de las subastas,,
,,
,,
Fecha de consulta: 21/11/2022 07:59:55,,
,,
,,
,,
Título,"Tipo de cambio pesos por dólar E.U.A., Tipo de cambio para solventar obligaciones denominadas en moneda extranjera, Fecha de liquidación",
Periodo disponible,14/11/1991 - 23/11/2022,
Periodicidad,Diaria,
Cifra,Tipo de Cambio,
Unidad,Pesos por Dólar,
Base,,
Aviso,,
Tipo de información,Niveles,
Fecha,SF60653,
01/01/2016,17.3398,
02/01/2016,17.3398,
03/01/2016,17.3398,
04/01/2016,17.3398,
05/01/2016,17.2487,
06/01/2016,17.3529,
07/01/2016,17.3456,
08/01/2016,17.4411,
09/01/2016,17.6568,
10/01/2016,17.6568,
11/01/2016,17.6568,
12/01/2016,17.9283,
13/01/2016,17.9304,
14/01/2016,17.9119,
15/01/2016,17.8500,
16/01/2016,17.9121,
17/01/2016,17.9121,
18/01/2016,17.9121,
19/01/2016,18.2108,
20/01/2016,18.2327,
21/01/2016,18.1947,
22/01/2016,18.6080,
23/01/2016,18.5084,
24/01/2016,18.5084,
25/01/2016,18.5084,
26/01/2016,18.4280,
27/01/2016,18.5352,
28/01/2016,18.4715,
29/01/2016,18.4530,
30/01/2016,18.2906,
31/01/2016,18.2906,17.9456483870968
01/02/2016,18.2906,
02/02/2016,18.2906,
03/02/2016,18.1935,
04/02/2016,18.4902,
05/02/2016,18.4537,
06/02/2016,18.1891,
07/02/2016,18.1891,
08/02/2016,18.1891,
09/02/2016,18.3748,
10/02/2016,18.6959,
11/02/2016,18.7818,
12/02/2016,18.8089,
13/02/2016,19.1754,
14/02/2016,19.1754,
15/02/2016,19.1754,
16/02/2016,19.0392,
17/02/2016,18.8471,
18/02/2016,18.8148,
19/02/2016,18.3895,
20/02/2016,18.1439,
21/02/2016,18.1439,
22/02/2016,18.1439,
23/02/2016,18.2762,
24/02/2016,18.0568,
25/02/2016,18.1948,
26/02/2016,18.2893,
27/02/2016,18.1680,
28/02/2016,18.1680,
29/02/2016,18.1680,18.4592034482759
01/03/2016,18.1706,
02/03/2016,18.1020,
03/03/2016,17.9432,
04/03/2016,17.8561,
05/03/2016,17.8971,
06/03/2016,17.8971,
07/03/2016,17.8971,
08/03/2016,17.7723,
09/03/2016,17.7526,
10/03/2016,17.9044,
11/03/2016,17.7523,
12/03/2016,17.8601,
13/03/2016,17.8601,
14/03/2016,17.8601,
15/03/2016,17.7002,
16/03/2016,17.7691,
17/03/2016,17.9260,
18/03/2016,17.9308,
19/03/2016,17.4034,
20/03/2016,17.4034,
21/03/2016,17.4034,
22/03/2016,17.4034,
23/03/2016,17.2995,
24/03/2016,17.3361,
25/03/2016,17.3361,
26/03/2016,17.3361,
27/03/2016,17.3361,
28/03/2016,17.3361,
29/03/2016,17.5273,
30/03/2016,17.4610,
31/03/2016,17.4015,17.6720838709677
01/04/2016,17.2509,
02/04/2016,17.2370,
03/04/2016,17.2370,
04/04/2016,17.2370,
05/04/2016,17.3338,
06/04/2016,17.4484,
07/04/2016,17.7252,
08/04/2016,17.7286,
09/04/2016,17.8930,
10/04/2016,17.8930,
11/04/2016,17.8930,
12/04/2016,17.7391,
13/04/2016,17.6452,
14/04/2016,17.5719,
15/04/2016,17.4900,
16/04/2016,17.3880,
17/04/2016,17.3880,
18/04/2016,17.3880,
19/04/2016,17.5669,
20/04/2016,17.4598,
21/04/2016,17.2825,
22/04/2016,17.3078,
23/04/2016,17.4202,
24/04/2016,17.4202,
25/04/2016,17.4202,
26/04/2016,17.4359,
27/04/2016,17.5866,
28/04/2016,17.4298,
29/04/2016,17.3993,
30/04/2016,17.2125,17.48096
01/05/2016,17.2125,
02/05/2016,17.2125,
03/05/2016,17.1767,
04/05/2016,17.2279,
05/05/2016,17.5234,
06/05/2016,17.7358,
07/05/2016,17.7866,
08/05/2016,17.7866,
09/05/2016,17.7866,
10/05/2016,17.9204,
11/05/2016,18.1033,
12/05/2016,18.0205,
13/05/2016,17.9549,
14/05/2016,17.9915,
15/05/2016,17.9915,
16/05/2016,17.9915,
17/05/2016,18.1562,
18/05/2016,18.1795,
19/05/2016,18.3217,
20/05/2016,18.3761,
21/05/2016,18.5465,
22/05/2016,18.5465,
23/05/2016,18.5465,
24/05/2016,18.3826,
25/05/2016,18.4444,
26/05/2016,18.4694,
27/05/2016,18.4520,
28/05/2016,18.4572,
29/05/2016,18.4572,
30/05/2016,18.4572,
31/05/2016,18.4527,
01/06/2016,18.4777,
02/06/2016,18.4118,
03/06/2016,18.5299,
04/06/2016,18.6097,
05/06/2016,18.6097,
06/06/2016,18.6097,
07/06/2016,18.6283,
08/06/2016,18.5889,
09/06/2016,18.5067,
10/06/2016,18.1491,
11/06/2016,18.2742,
12/06/2016,18.2742,
13/06/2016,18.2742,
14/06/2016,18.5046,
15/06/2016,18.7915,
16/06/2016,18.9814,
17/06/2016,18.8672,
18/06/2016,18.9968,
19/06/2016,18.9968,
20/06/2016,18.9968,
21/06/2016,18.8527,
22/06/2016,18.6559,
23/06/2016,18.6444,
24/06/2016,18.5325,
25/06/2016,18.3207,
26/06/2016,18.3207,
27/06/2016,18.3207,
28/06/2016,18.8716,
29/06/2016,19.1283,
30/06/2016,18.9113,
01/07/2016,18.5550,
02/07/2016,18.4646,
03/07/2016,18.4646,
04/07/2016,18.4646,
05/07/2016,18.3090,
06/07/2016,18.3858,
07/07/2016,18.7536,
08/07/2016,18.8161,
09/07/2016,18.8607,
10/07/2016,18.8607,
11/07/2016,18.8607,
12/07/2016,18.5991,
13/07/2016,18.4597,
14/07/2016,18.3006,
15/07/2016,18.3937,
16/07/2016,18.3061,
17/07/2016,18.3061,
18/07/2016,18.3061,
19/07/2016,18.4920,
20/07/2016,18.4879,
21/07/2016,18.5719,
22/07/2016,18.5729,
23/07/2016,18.6022,
24/07/2016,18.6022,
25/07/2016,18.6022,
26/07/2016,18.6089,
27/07/2016,18.7569,
28/07/2016,18.8114,
29/07/2016,18.8602,
30/07/2016,18.8979,
31/07/2016,18.8979,
01/08/2016,18.8979,
02/08/2016,18.7837,
03/08/2016,18.8504,
04/08/2016,18.8966,
05/08/2016,18.9117,
06/08/2016,18.8612,
07/08/2016,18.8612,
08/08/2016,18.8612,
09/08/2016,18.8691,
10/08/2016,18.5716,
11/08/2016,18.3842,
12/08/2016,18.3479,
13/08/2016,18.2678,
14/08/2016,18.2678,
15/08/2016,18.2678,
16/08/2016,18.2455,
17/08/2016,18.0363,
18/08/2016,17.9869,
19/08/2016,18.2598,
20/08/2016,18.0832,
21/08/2016,18.0832,
22/08/2016,18.0832,
23/08/2016,18.2674,
24/08/2016,18.3023,
25/08/2016,18.3202,
26/08/2016,18.4971,
27/08/2016,18.4460,
28/08/2016,18.4460,
29/08/2016,18.4460,
30/08/2016,18.2830,
31/08/2016,18.5773,
01/09/2016,18.7953,
02/09/2016,18.8611,
03/09/2016,18.8523,
04/09/2016,18.8523,
05/09/2016,18.8523,
06/09/2016,18.6589,
07/09/2016,18.5581,
08/09/2016,18.3524,
09/09/2016,18.3689,
10/09/2016,18.5427,
11/09/2016,18.5427,
12/09/2016,18.5427,
13/09/2016,18.8451,
14/09/2016,19.0646,
15/09/2016,19.1520,
16/09/2016,19.2275,
17/09/2016,19.2275,
18/09/2016,19.2275,
19/09/2016,19.2275,
20/09/2016,19.2514,
21/09/2016,19.6097,
22/09/2016,19.7770,
23/09/2016,19.8394,
24/09/2016,19.5965,
25/09/2016,19.5965,
26/09/2016,19.5965,
27/09/2016,19.7211,
28/09/2016,19.8322,
29/09/2016,19.5044,
30/09/2016,19.5002,
01/10/2016,19.4086,
02/10/2016,19.4086,
03/10/2016,19.4086,
04/10/2016,19.3776,
05/10/2016,19.3211,
06/10/2016,19.2138,
07/10/2016,19.2554,
08/10/2016,19.2433,
09/10/2016,19.2433,
10/10/2016,19.2433,
11/10/2016,19.2994,
12/10/2016,18.8786,
13/10/2016,18.9531,
14/10/2016,18.9622,
15/10/2016,19.0399,
16/10/2016,19.0399,
17/10/2016,19.0399,
18/10/2016,19.0046,
19/10/2016,18.8723,
20/10/2016,18.6726,
21/10/2016,18.5894,
22/10/2016,18.5945,
23/10/2016,18.5945,
24/10/2016,18.5945,
25/10/2016,18.6481,
26/10/2016,18.5658,
27/10/2016,18.5147,
28/10/2016,18.6485,
29/10/2016,18.8443,
30/10/2016,18.8443,
31/10/2016,18.8443,
01/11/2016,18.7304,
02/11/2016,18.8887,
03/11/2016,18.8887,
04/11/2016,19.1306,
05/11/2016,19.2014,
06/11/2016,19.2014,
